ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet
greenbottle02.obj;3.118226000;7.854631000;2.660732000;0.000000084293700;0.000000000000000;0.000000000000000;-1.000000000000000;0.8547009;Default
generalbookstackshort01.obj;-1.321609000;13.117550000;3.456822000;0.342020100000000;0.000000000000000;0.000000000000000;-0.939692600000000;0.8665105;Default
stormwindrug01.obj;-1.444606000;-6.667568000;1.266881000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.476;Default
firewoodpile01.obj;-4.359278000;0.431077200;2.198492000;0.707106700000000;0.000000000000000;0.000000000000000;-0.707106800000000;0.6407159;Default
duskwooddeerhead01.obj;-4.558640000;0.202768900;6.040481000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000032373880;1.68;Default
generalbearskinrug01.obj;-1.779986000;6.701959000;1.218884000;0.887010800000000;0.000000000000000;0.000000000000000;-0.461748700000000;1;Default
duskwoodbench.obj;-1.259092000;0.313105500;1.217344000;-0.000000162920700;0.000000000000000;0.000000000000000;-1.000000000000000;1;Default
stein.obj;3.171490000;6.505343000;2.105644000;0.382683600000000;0.000000000000000;0.000000000000000;-0.923879500000000;0.8547009;Default
stein.obj;3.171490000;6.744248000;2.105644000;0.976296000000000;0.000000000000000;0.000000000000000;-0.216439600000000;0.8547009;Default
jar01.obj;3.085159000;7.415667000;2.661115000;0.000000084293700;0.000000000000000;0.000000000000000;-1.000000000000000;0.8547009;Default
jar02.obj;3.105917000;6.930009000;2.673127000;0.000000084293700;0.000000000000000;0.000000000000000;-1.000000000000000;0.8547009;Default
greenbottle02.obj;3.157899000;8.048859000;2.660732000;0.000000084293700;0.000000000000000;0.000000000000000;-1.000000000000000;1.025641;Default
stein.obj;3.041220000;6.514647000;2.661819000;0.976296000000000;0.000000000000000;0.000000000000000;-0.216439600000000;0.8547009;Default
bowl.obj;3.134862000;7.129601000;2.109880000;0.000000084293700;0.000000000000000;0.000000000000000;-1.000000000000000;0.8547009;Default
bowl.obj;3.134862000;7.661196000;2.109880000;0.000000084293700;0.000000000000000;0.000000000000000;-1.000000000000000;0.8547009;Default
bowl.obj;3.134862000;7.661196000;2.190350000;0.000000084293700;0.000000000000000;0.000000000000000;-1.000000000000000;0.8547009;Default
bowl.obj;3.068686000;7.649430000;1.631292000;0.000000084293700;0.000000000000000;0.000000000000000;-1.000000000000000;0.8547009;Default
bowl.obj;3.068686000;7.114316000;1.628779000;0.000000084293700;0.000000000000000;0.000000000000000;-1.000000000000000;1.213675;Default
bowl.obj;3.068686000;6.548766000;1.716976000;0.000000084293700;0.000000000000000;0.000000000000000;-1.000000000000000;0.8547009;Default
bowl.obj;3.068686000;6.548766000;1.636505000;0.000000084293700;0.000000000000000;0.000000000000000;-1.000000000000000;0.8547009;Default
greenbottle02.obj;3.096979000;6.297472000;2.660732000;0.000000084293700;0.000000000000000;0.000000000000000;-1.000000000000000;1.025641;Default
duskwoodbookshelf02.obj;3.100852000;7.121632000;1.180630000;0.000000084293700;0.000000000000000;0.000000000000000;-1.000000000000000;0.8547009;Default
inntablesmall.obj;-1.602626000;13.319490000;2.349957000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1;Default
jar03.obj;-1.892791000;13.762410000;3.442280000;0.952395900000000;0.000000000000000;0.000000000000000;0.304864200000000;1.558899;Default
generalchairloend01.obj;0.468686900;12.909500000;2.355042000;0.342020300000000;0.000000000000000;0.000000000000000;-0.939692600000000;0.9999999;Default
innchandelier.obj;-0.714043600;0.500636200;13.396660000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.203175;Default
flowerswreath02.obj;3.697094000;7.004734000;4.503608000;0.668582600000000;0.230211400000000;-0.668582700000000;-0.230211500000000;1.1935;Default
