ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet
duskwoodbed.obj;12.814000000;-2.325526000;9.065339000;0.707106700000000;0.000000000000000;0.000000000000000;-0.707106800000000;1;Default
bowl.obj;7.327917000;3.964460000;1.050135000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;0.8547009;Default
bowl.obj;7.327917000;3.964460000;1.130607000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;0.8547009;Default
bowl.obj;6.762365000;3.964460000;1.042409000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;1.213675;Default
bowl.obj;6.227249000;3.964460000;1.044922000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;0.8547009;Default
bowl.obj;6.215483000;4.030635000;1.603980000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;0.8547009;Default
bowl.obj;6.215483000;4.030635000;1.523510000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;0.8547009;Default
bowl.obj;6.747079000;4.030635000;1.523510000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;0.8547009;Default
duskwoodbookshelf02.obj;6.755047000;3.996632000;0.594260300;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;0.8547009;Default
greenbottle02.obj;7.579212000;3.992753000;2.074361000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;1.025641;Default
greenbottle02.obj;5.827822000;4.053679000;2.074361000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;1.025641;Default
greenbottle02.obj;6.022049000;4.014007000;2.074361000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;0.8547009;Default
jar02.obj;6.946671000;4.001691000;2.086756000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;0.8547009;Default
jar01.obj;6.461014000;3.980939000;2.074744000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;0.8547009;Default
stein.obj;7.132434000;4.067270000;1.519274000;0.843391400000000;0.000000000000000;0.000000000000000;0.537299600000000;0.8547009;Default
stein.obj;7.371340000;4.067270000;1.519274000;0.923879600000000;0.000000000000000;0.000000000000000;-0.382683300000000;0.8547009;Default
stein.obj;7.362035000;3.936994000;2.075448000;0.843391400000000;0.000000000000000;0.000000000000000;0.537299600000000;0.8547009;Default
stormwindrug01.obj;0.602151200;0.524192200;8.154459000;0.000000042146850;0.000000000000000;0.000000000000000;-1.000000000000000;1.299925;Default
generalchairloend01.obj;14.551060000;2.690421000;9.143652000;0.500000200000000;0.000000000000000;0.000000000000000;-0.866025300000000;0.9999999;Default
generalbookstackshort01.obj;12.385440000;3.427440000;10.238780000;0.342020100000000;0.000000000000000;0.000000000000000;-0.939692600000000;0.8665105;Default
inntablesmall.obj;12.641240000;3.207731000;9.131922000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1;Default
generalhanginglantern01.obj;1.344341000;0.312176200;5.324994000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.09132;Default
stormwindrug01.obj;-1.421500000;-0.434979900;1.238381000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.021418;Default
